TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,DATA_TYPE_ALIAS,COMMENT
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,DOMAIN,27,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,QUERY,28,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,PATH,29,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HASH,30,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,TITLE,31,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,VIEW_CONTROLLER,32,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SCREEN_A11Y_ID,33,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,SCREEN_A11Y_LABEL,34,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,TARGET_A11Y_LABEL,35,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
HEAP_MAIN_PRODUCTION,HEAP,PAGEVIEWS,HEAP_DEVICE_ID,36,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
